"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","3560 Lynhaven Drive","Richland County School District One","Samuel A. Heyward Career and Tech Center","https://www.richlandone.org/Domain/49","Columbia","Richland                                          ",4001,"Richland 01                                       ","9-12 SPED      ","sherry.rivers@richlandone.org","Sherry","field no longer used","Rivers","803-735-3343","Dr.","Midlands",996,"",8036914253,"Samuel A Heyward Career & Tech C                    ",8037353343,2020,4001996,"SC",29204,
"","324 Gnarly Oak Lane","Dorchester 2","Sand Hill Elementary School","http://shes.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","PK-5 SPED      ","mbaird@dorchester2.k12.sc.us","Wally","","Baird",8436955201,"Dr.","",029,"",8436955202,"Sand Hill Elementary",8436955201,2020,1802029,"SC",29483,
"","2700 Seminole Road","Richland County School District One","Sandel Elementary","https://www.richlandone.org/Domain/30","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","claudia.brooks@richlandone.org","Claudia","field no longer used","Brooks","803-731-8906","Ms.","Midlands",059,"",8037318977,"Sandel Elem                                       ",8037318906,2020,4001059,"SC",29210,
"","609 Green Street","Laurens County School District No. 55","Sanders Middle","http://www.sandersmiddle.org/","Laurens","Laurens                                           ",3055,"Laurens 55                                        ","6-8 SPED       ","lbyrd@laurens55.org","Lacresha","field no longer used","Byrd","864-984-0354","Dr.","Upper Savannah",013,"",8649842452,"Sanders Middle                                    ",8649840354,2020,3055013,"SC",29360,
"","805 Morrison Drive","Charleston County School District","Sanders-Clyde Elementary","http://sandersclyde.ccsdschools.com/","Charleston","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","janice_malone@charleston.k12.sc.us","Janice","field no longer used","Malone","843-724-7783","Ms.","Trident",076,"",8437203138,"Sanders-Clyde Elem                                ",8437247783,2020,1001076,"SC",29403,
"","130 Lewis Rast Road","Lexington School District Four","Sandhills Elementary","http://ses.lexington4.net/","Swansea","Lexington                                         ",3204,"Lexington 04                                      ","3-4 SPED           ","pcarter@lexington4.net","Patricia","field no longer used","Carter","803-490-7003","Ms.","Midlands",039,"",8033997963,"Sandhills Elem                                    ",8034907003,2020,3204039,"SC",29160,
"","582 Meadowfield Road","Lexington School District Four","Sandhills Middle","http://sms.lexington4.net/","Gaston","Lexington                                         ",3204,"Lexington 04                                      ","7-8 SPED            ","cbaker@lexington4.net","Craig","field no longer used","Baker","803-490-7005","Mr.","Midlands",036,"",8033997965,"Sandhills Middle                                  ",8034907005,2020,3204036,"SC",29053,
"","140 Lewis Rast Road","Lexington School District Four","Sandhills Primary","http://sps.lexington4.net/","Swansea","Lexington                                         ",3204,"Lexington 04                                      ","1-2 SPED            ","pcarter@lexington4.net","Patricia","field no longer used","Carter","803-490-7002","Mr.","Midlands",040,"",8035681260,"Sandhills Primary                                 ",8034907002,2020,3204040,"SC",29160,
"","1001 Longtown Road","Richland School District Two","Sandlapper Elementary","https://www.richland2.org/se/","Columbia","Richland                                          ",4002,"Richland 02                                       ","PK-5 SPED           ","cmay@richland2.org","Connie","field no longer used","May","803-691-4045","Mrs.","Midlands",093,"",8036912681,"Sandlapper Elem                                   ",8036914045,2020,4002093,"SC",29229,
"","450 Old Swamp Road","Calhoun County Public Schools","Sandy Run School","http://srk8.ccpsonline.net/","Swansea","Calhoun                                           ",0901,"Calhoun 01                                        ","PK-8 SPED      ","bgoodwin@ccpsonline.net","Brenda","field no longer used","Goodwin","803-655-2746","Mrs.","Lower Savannah",008,"",8037918975,"Sandy Run School                                  ",8036552746,2020,0901008,"SC",29160,
"","1460 Royle Road","Berkeley County School District","Sangaree Elementary","http://www.bcsdschools.net/sre","Summerville","Berkeley                                          ",0801,"Berkeley 01                                       ","PK-2 SPED           ","webberb@bcsdschools.net","Barbara","field no longer used","Webber","843-820-3868","Ms.","Trident",023,"",8438203874,"Sangaree Elem                                     ",8438203868,2020,0801023,"SC",29483,
"","201 School House Lane","Berkeley County School District","Sangaree Intermediate","http://www.bcsdschools.net/sri","Summerville","Berkeley                                          ",0801,"Berkeley 01                                       ","3-5 SPED            ","siegling@bcsdschools.net","Angel","field no longer used","Siegling","843-820-3850","Ms.","Trident",038,"",8438203854,"Sangaree Intermed                                 ",8438203850,2020,0801038,"SC",29455,
"","1050 Discovery Drive","Berkeley County School District","Sangaree Middle","http://www.bcsdschools.net/srm","Ladson","Berkeley                                          ",0801,"Berkeley 01                                       ","6-8 SPED           ","daymar@bcsdschools.net","Margaret","field no longer used","Day","843-821-4028","Ms.","Trident",047,"",8438718974,"Sangaree Middle                                   ",8438214028,2020,0801047,"SC",29445,
"","4450 Broad River Road","Palmetto Unified","Sara Babb High School","http://www.doc.sc.gov/edu/pusd.html","Columbia","Dept Of Correct                                   ",5209,"Dept Of Correction N04                            ","9-12 SPED          ","Terry.Macy@doc.sc.gov","Macy","field no longer used","Terry","803-896-2714","Ms.","Special REC",011,"",8038961513,"Sara Babb High School                                    ",8038962714,2020,5209011,"SC",29210,
"","1200 Parkins Mill Road","The School District of Greenville County","Sara Collins Elementary","http://www.greenville.k12.sc.us/scollins/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","K-5 SPED       ","mbburns@greenville.k12.sc.us","Melissa","field no longer used","Burns","864-355-3200","Dr.","Greenville",044,"",8643553209,"Sara Collins Elem                                 ",8643553200,2020,2301044,"SC",29607,
"","5901 Satchel Ford Road","Richland County School District One","Satchel Ford Elementary","https://www.richlandone.org/Domain/31","Columbia","Richland                                          ",4001,"Richland 01                                       ","K-5 SPED       ","kevin.hasinger@richlandone.org","Kevin","field no longer used","Hasinger","803-738-7209","Mr.","Midlands",056,"",8037387218,"Satchel Ford Elem                            ",8037387209,2020,4001056,"SC",29206,
"","2348 Savannah Grove Road","Florence School District One","Savannah Grove Elementary","https://www.f1s.org/SavannahGrove","Effingham","Florence                                          ",2101,"Florence 01                                       ","K-6 SPED       ","david.copeland@fsd1.org","David","field no longer used","Copeland, Jr.","843-664-8463","Mr.","Pee Dee",018,"",8436648185,"Savannah Grove Elem                               ",8436648463,2020,2101018,"SC",29541,
"","100 Bill Williamson Court","Lexington County School District One","Saxe Gotha Elementary","http://www.lexington1.net/schools/saxe-gotha-elementary-school","Lexington","Lexington                                         ",3201,"Lexington 01                                      ","PK-5 SPED           ","ehouck@lexington1.net","Elizabeth","field no longer used","Houck","803-821-4800","Ms.","Midlands",052,"",8038214803,"Saxe Gotha Elem                                   ",8038214800,2020,3201052,"SC",29073,
"","201 Executive Center Drive, Suite 250","SC Public School Charter District","SC Connections Academy","http://www.connectionsacademy.com/south-carolina-virtual-school","Columbia","SC Public Chart                                   ",4701,"SC Public Charter School District                 ","K-12 SPED          ","jkitchens@scca.connectionsacademy.org","Josh","field no longer used","Kitchens","803-212-4712","Mr.","Special REC",003,"",8038141283,"SC Connections Academy                            ",8032124712,2020,4701003,"SC",29210,
"15 University Street","15 University Street","Governor's School for the Arts and Humanities","SC Governor's School for the Arts and Humanities","http://www.scgsah.state.sc.us","Greenville","Governor's School",5364,"Governor's School for the Arts and Humanities","10-12","jallen@scgsah.org","Julie","field no longer used","Allen","864-282-3757","Mrs.","Special REC",001,"",8642823577,"SC Governor's School for the Arts and Humanities",8642823757,2020,5364001,"SC",29601,
"","355 Cedar Spring Road","SC School for the Deaf and Blind","SC School For Blind Elementary-Middle","http://www.scsdb.org/","Spartanburg","Deaf & Blind SC                                   ",5207,"Deaf & Blind School                               ","PK-8 SPED      ","lthomson@scsdb.org","Lou","field no longer used","Thomson","864-577-7600","Ms.","Special REC",010,"",8645777603,"SC School For Blind Elem/Middle                          ",8645777600,2020,5207010,"SC",29302,
"","355 Cedar Springs Road","SC School for the Deaf and Blind","SC School For Deaf Elementary-Middle","http://www.scsdb.org/","Spartanburg","Deaf & Blind SC                                   ",5207,"Deaf & Blind School                               ","PK-8 SPED      ","jstanion@scsdb.org","Jennifer","field no longer used","Stanion","864-577-7811","Mrs","Special REC",009,"","864-5778659","SC School For Deaf Elem/Middle                           ",864577781,2020,5207009,"SC",29302,
"","355 Cedar Springs Road","SC School for the Deaf and Blind","SC School for the Blind High School","http://www.scsdb.org/","Spartanburg","Deaf & Blind SC                                   ",5207,"Deaf & Blind School                               ","9-12 SPED      ","lthomson@scsdb.org","Lou","field no longer used","Thomson","864-577-7600","Ms.","Special REC",005,"",8645777603,"SC School For Blind High                          ","864577-7600",2020,5207005,"SC",29302,
